snapshot_date,curve_date,forward_date,rate
2026-03-17,2026-03-09T16:00:00,2030-02-11T00:00:00,0.0397761
2026-03-17,2026-03-09T16:00:00,2030-03-11T00:00:00,0.0398551
2026-03-17,2026-03-09T16:00:00,2030-04-11T00:00:00,0.0399391
2026-03-17,2026-03-09T16:00:00,2030-05-13T00:00:00,0.0400394
2026-03-17,2026-03-09T16:00:00,2030-06-11T00:00:00,0.0401288
2026-03-17,2026-03-09T16:00:00,2030-07-11T00:00:00,0.040225
2026-03-17,2026-03-09T16:00:00,2030-08-12T00:00:00,0.0403318
2026-03-17,2026-03-09T16:00:00,2030-09-11T00:00:00,0.0404323
2026-03-17,2026-03-09T16:00:00,2030-10-11T00:00:00,0.0405506
2026-03-17,2026-03-09T16:00:00,2030-11-11T00:00:00,0.0406575
2026-03-17,2026-03-09T16:00:00,2030-12-11T00:00:00,0.0407643
2026-03-17,2026-03-09T16:00:00,2031-01-13T00:00:00,0.0409047
2026-03-17,2026-03-09T16:00:00,2031-02-11T00:00:00,0.0410122
2026-03-17,2026-03-09T16:00:00,2031-03-11T00:00:00,0.0411356
2026-03-17,2026-03-09T16:00:00,2031-04-15T00:00:00,0.0412771
2026-03-17,2026-03-09T16:00:00,2031-05-12T00:00:00,0.0413954
2026-03-17,2026-03-09T16:00:00,2031-06-11T00:00:00,0.0415207
2026-03-17,2026-03-09T16:00:00,2031-07-11T00:00:00,0.0416554
2026-03-17,2026-03-09T16:00:00,2031-08-11T00:00:00,0.0417768
2026-03-17,2026-03-09T16:00:00,2031-09-11T00:00:00,0.041904
2026-03-17,2026-03-09T16:00:00,2031-10-13T00:00:00,0.0420418
2026-03-17,2026-03-09T16:00:00,2031-11-11T00:00:00,0.0421652
2026-03-17,2026-03-09T16:00:00,2031-12-11T00:00:00,0.0422887
2026-03-17,2026-03-09T16:00:00,2032-01-12T00:00:00,0.0424265
2026-03-17,2026-03-09T16:00:00,2032-02-11T00:00:00,0.0425501
2026-03-17,2026-03-09T16:00:00,2032-03-11T00:00:00,0.0426839
2026-03-17,2026-03-09T16:00:00,2032-04-12T00:00:00,0.0428198
2026-03-17,2026-03-09T16:00:00,2032-05-11T00:00:00,0.0429515
2026-03-17,2026-03-09T16:00:00,2032-06-11T00:00:00,0.0430963
2026-03-17,2026-03-09T16:00:00,2032-07-12T00:00:00,0.0432227
2026-03-17,2026-03-09T16:00:00,2032-08-11T00:00:00,0.0433547
2026-03-17,2026-03-09T16:00:00,2032-09-13T00:00:00,0.0434964
2026-03-17,2026-03-09T16:00:00,2032-10-11T00:00:00,0.0436228
2026-03-17,2026-03-09T16:00:00,2032-11-11T00:00:00,0.0437607
2026-03-17,2026-03-09T16:00:00,2032-12-13T00:00:00,0.0438987
2026-03-17,2026-03-09T16:00:00,2033-01-11T00:00:00,0.0440262
2026-03-17,2026-03-09T16:00:00,2033-02-11T00:00:00,0.0441572
2026-03-17,2026-03-09T16:00:00,2033-03-11T00:00:00,0.0443056
2026-03-17,2026-03-09T16:00:00,2033-04-11T00:00:00,0.0444277
2026-03-17,2026-03-09T16:00:00,2033-05-11T00:00:00,0.0445664
2026-03-17,2026-03-09T16:00:00,2033-06-13T00:00:00,0.044709
2026-03-17,2026-03-09T16:00:00,2033-07-11T00:00:00,0.0448287
2026-03-17,2026-03-09T16:00:00,2033-08-11T00:00:00,0.0449598
2026-03-17,2026-03-09T16:00:00,2033-09-12T00:00:00,0.0450897
2026-03-17,2026-03-09T16:00:00,2033-10-11T00:00:00,0.0452122
2026-03-17,2026-03-09T16:00:00,2033-11-11T00:00:00,0.0453488
2026-03-17,2026-03-09T16:00:00,2033-12-12T00:00:00,0.0454597
2026-03-17,2026-03-09T16:00:00,2034-01-11T00:00:00,0.0455763
2026-03-17,2026-03-09T16:00:00,2034-02-13T00:00:00,0.0457102
2026-03-17,2026-03-09T16:00:00,2034-03-13T00:00:00,0.0458237
2026-03-17,2026-03-09T16:00:00,2034-04-11T00:00:00,0.0459321
2026-03-17,2026-03-09T16:00:00,2034-05-11T00:00:00,0.0460531
2026-03-17,2026-03-09T16:00:00,2034-06-12T00:00:00,0.046174
2026-03-17,2026-03-09T16:00:00,2034-07-11T00:00:00,0.0462822
2026-03-17,2026-03-09T16:00:00,2034-08-11T00:00:00,0.046406
2026-03-17,2026-03-09T16:00:00,2034-09-11T00:00:00,0.0465053
