snapshot_date,curve_date,forward_date,rate
2026-03-17,2026-03-09T16:00:00,2026-03-11T00:00:00,0.02078
2026-03-17,2026-03-09T16:00:00,2026-04-13T00:00:00,0.0213626
2026-03-17,2026-03-09T16:00:00,2026-05-11T00:00:00,0.0218427
2026-03-17,2026-03-09T16:00:00,2026-06-11T00:00:00,0.0223438
2026-03-17,2026-03-09T16:00:00,2026-07-13T00:00:00,0.0228138
2026-03-17,2026-03-09T16:00:00,2026-08-11T00:00:00,0.0231935
2026-03-17,2026-03-09T16:00:00,2026-09-11T00:00:00,0.023548
2026-03-17,2026-03-09T16:00:00,2026-10-12T00:00:00,0.0238468
2026-03-17,2026-03-09T16:00:00,2026-11-11T00:00:00,0.0240824
2026-03-17,2026-03-09T16:00:00,2026-12-11T00:00:00,0.0242653
2026-03-17,2026-03-09T16:00:00,2027-01-11T00:00:00,0.0244011
2026-03-17,2026-03-09T16:00:00,2027-02-11T00:00:00,0.0244943
2026-03-17,2026-03-09T16:00:00,2027-03-11T00:00:00,0.0245534
2026-03-17,2026-03-09T16:00:00,2027-04-12T00:00:00,0.0246036
2026-03-17,2026-03-09T16:00:00,2027-05-11T00:00:00,0.0246382
2026-03-17,2026-03-09T16:00:00,2027-06-11T00:00:00,0.0246676
2026-03-17,2026-03-09T16:00:00,2027-07-12T00:00:00,0.0246934
2026-03-17,2026-03-09T16:00:00,2027-08-11T00:00:00,0.0247176
2026-03-17,2026-03-09T16:00:00,2027-09-13T00:00:00,0.0247465
2026-03-17,2026-03-09T16:00:00,2027-10-11T00:00:00,0.0247752
2026-03-17,2026-03-09T16:00:00,2027-11-11T00:00:00,0.0248122
2026-03-17,2026-03-09T16:00:00,2027-12-13T00:00:00,0.0248571
2026-03-17,2026-03-09T16:00:00,2028-01-11T00:00:00,0.0249038
2026-03-17,2026-03-09T16:00:00,2028-02-11T00:00:00,0.0249593
2026-03-17,2026-03-09T16:00:00,2028-03-13T00:00:00,0.0250192
2026-03-17,2026-03-09T16:00:00,2028-04-11T00:00:00,0.0250782
2026-03-17,2026-03-09T16:00:00,2028-05-11T00:00:00,0.025142
2026-03-17,2026-03-09T16:00:00,2028-06-12T00:00:00,0.0252127
2026-03-17,2026-03-09T16:00:00,2028-07-11T00:00:00,0.0252789
2026-03-17,2026-03-09T16:00:00,2028-08-11T00:00:00,0.0253516
2026-03-17,2026-03-09T16:00:00,2028-09-11T00:00:00,0.0254261
2026-03-17,2026-03-09T16:00:00,2028-10-11T00:00:00,0.0254996
2026-03-17,2026-03-09T16:00:00,2028-11-13T00:00:00,0.0255818
2026-03-17,2026-03-09T16:00:00,2028-12-11T00:00:00,0.0256526
2026-03-17,2026-03-09T16:00:00,2029-01-11T00:00:00,0.025732
2026-03-17,2026-03-09T16:00:00,2029-02-12T00:00:00,0.0258148
2026-03-17,2026-03-09T16:00:00,2029-03-12T00:00:00,0.0258881
2026-03-17,2026-03-09T16:00:00,2029-04-11T00:00:00,0.0259673
2026-03-17,2026-03-09T16:00:00,2029-05-11T00:00:00,0.0260469
2026-03-17,2026-03-09T16:00:00,2029-06-11T00:00:00,0.0261293
2026-03-17,2026-03-09T16:00:00,2029-07-11T00:00:00,0.0262091
2026-03-17,2026-03-09T16:00:00,2029-08-13T00:00:00,0.026297
2026-03-17,2026-03-09T16:00:00,2029-09-11T00:00:00,0.0263747
2026-03-17,2026-03-09T16:00:00,2029-10-11T00:00:00,0.0264558
2026-03-17,2026-03-09T16:00:00,2029-11-12T00:00:00,0.0265432
2026-03-17,2026-03-09T16:00:00,2029-12-11T00:00:00,0.0266232
2026-03-17,2026-03-09T16:00:00,2030-01-11T00:00:00,0.0267096
2026-03-17,2026-03-09T16:00:00,2030-02-11T00:00:00,0.0267963
2026-03-17,2026-03-09T16:00:00,2030-03-11T00:00:00,0.0268744
2026-03-17,2026-03-09T16:00:00,2030-04-11T00:00:00,0.0269602
2026-03-17,2026-03-09T16:00:00,2030-05-13T00:00:00,0.0270482
2026-03-17,2026-03-09T16:00:00,2030-06-11T00:00:00,0.0271281
2026-03-17,2026-03-09T16:00:00,2030-07-11T00:00:00,0.0272111
2026-03-17,2026-03-09T16:00:00,2030-08-12T00:00:00,0.0273003
2026-03-17,2026-03-09T16:00:00,2030-09-11T00:00:00,0.0273844
2026-03-17,2026-03-09T16:00:00,2030-10-11T00:00:00,0.0274691
2026-03-17,2026-03-09T16:00:00,2030-11-11T00:00:00,0.0275573
2026-03-17,2026-03-09T16:00:00,2030-12-11T00:00:00,0.0276437
2026-03-17,2026-03-09T16:00:00,2031-01-13T00:00:00,0.0277398
2026-03-17,2026-03-09T16:00:00,2031-02-11T00:00:00,0.0278248
2026-03-17,2026-03-09T16:00:00,2031-03-11T00:00:00,0.0279068
2026-03-17,2026-03-09T16:00:00,2031-04-15T00:00:00,0.0280089
2026-03-17,2026-03-09T16:00:00,2031-05-12T00:00:00,0.0280876
2026-03-17,2026-03-09T16:00:00,2031-06-11T00:00:00,0.0281754
2026-03-17,2026-03-09T16:00:00,2031-07-11T00:00:00,0.028264
2026-03-17,2026-03-09T16:00:00,2031-08-11T00:00:00,0.0283565
2026-03-17,2026-03-09T16:00:00,2031-09-11T00:00:00,0.0284502
2026-03-17,2026-03-09T16:00:00,2031-10-13T00:00:00,0.0285481
2026-03-17,2026-03-09T16:00:00,2031-11-11T00:00:00,0.0286378
2026-03-17,2026-03-09T16:00:00,2031-12-11T00:00:00,0.0287315
2026-03-17,2026-03-09T16:00:00,2032-01-12T00:00:00,0.028832
2026-03-17,2026-03-09T16:00:00,2032-02-11T00:00:00,0.028927
2026-03-17,2026-03-09T16:00:00,2032-03-11T00:00:00,0.0290192
2026-03-17,2026-03-09T16:00:00,2032-04-12T00:00:00,0.0291215
2026-03-17,2026-03-09T16:00:00,2032-05-11T00:00:00,0.0292143
2026-03-17,2026-03-09T16:00:00,2032-06-11T00:00:00,0.0293132
2026-03-17,2026-03-09T16:00:00,2032-07-12T00:00:00,0.0294115
2026-03-17,2026-03-09T16:00:00,2032-08-11T00:00:00,0.0295067
2026-03-17,2026-03-09T16:00:00,2032-09-13T00:00:00,0.0296124
2026-03-17,2026-03-09T16:00:00,2032-10-11T00:00:00,0.0297036
2026-03-17,2026-03-09T16:00:00,2032-11-11T00:00:00,0.0298065
2026-03-17,2026-03-09T16:00:00,2032-12-13T00:00:00,0.0299155
2026-03-17,2026-03-09T16:00:00,2033-01-11T00:00:00,0.0300164
2026-03-17,2026-03-09T16:00:00,2033-02-11T00:00:00,0.0301243
2026-03-17,2026-03-09T16:00:00,2033-03-11T00:00:00,0.0302196
2026-03-17,2026-03-09T16:00:00,2033-04-11T00:00:00,0.0303206
2026-03-17,2026-03-09T16:00:00,2033-05-11T00:00:00,0.0304157
2026-03-17,2026-03-09T16:00:00,2033-06-13T00:00:00,0.03052
2026-03-17,2026-03-09T16:00:00,2033-07-11T00:00:00,0.03061
2026-03-17,2026-03-09T16:00:00,2033-08-11T00:00:00,0.0307106
2026-03-17,2026-03-09T16:00:00,2033-09-12T00:00:00,0.0308141
2026-03-17,2026-03-09T16:00:00,2033-10-11T00:00:00,0.0309067
2026-03-17,2026-03-09T16:00:00,2033-11-11T00:00:00,0.0310042
2026-03-17,2026-03-09T16:00:00,2033-12-12T00:00:00,0.0311006
2026-03-17,2026-03-09T16:00:00,2034-01-11T00:00:00,0.0311932
2026-03-17,2026-03-09T16:00:00,2034-02-13T00:00:00,0.031294
2026-03-17,2026-03-09T16:00:00,2034-03-13T00:00:00,0.0313786
2026-03-17,2026-03-09T16:00:00,2034-04-11T00:00:00,0.0314654
2026-03-17,2026-03-09T16:00:00,2034-05-11T00:00:00,0.0315542
2026-03-17,2026-03-09T16:00:00,2034-06-12T00:00:00,0.0316477
2026-03-17,2026-03-09T16:00:00,2034-07-11T00:00:00,0.0317316
2026-03-17,2026-03-09T16:00:00,2034-08-11T00:00:00,0.0318202
2026-03-17,2026-03-09T16:00:00,2034-09-11T00:00:00,0.0319077
2026-03-17,2026-03-09T16:00:00,2034-10-11T00:00:00,0.0319914
2026-03-17,2026-03-09T16:00:00,2034-11-13T00:00:00,0.0320822
2026-03-17,2026-03-09T16:00:00,2034-12-11T00:00:00,0.0321583
2026-03-17,2026-03-09T16:00:00,2035-01-11T00:00:00,0.0322415
2026-03-17,2026-03-09T16:00:00,2035-02-12T00:00:00,0.0323262
2026-03-17,2026-03-09T16:00:00,2035-03-12T00:00:00,0.0323995
2026-03-17,2026-03-09T16:00:00,2035-04-11T00:00:00,0.032477
2026-03-17,2026-03-09T16:00:00,2035-05-11T00:00:00,0.0325534
2026-03-17,2026-03-09T16:00:00,2035-06-11T00:00:00,0.0326309
2026-03-17,2026-03-09T16:00:00,2035-07-11T00:00:00,0.0327044
2026-03-17,2026-03-09T16:00:00,2035-08-13T00:00:00,0.0327836
2026-03-17,2026-03-09T16:00:00,2035-09-11T00:00:00,0.0328523
2026-03-17,2026-03-09T16:00:00,2035-10-11T00:00:00,0.0329227
2026-03-17,2026-03-09T16:00:00,2035-11-12T00:00:00,0.0329968
2026-03-17,2026-03-09T16:00:00,2035-12-11T00:00:00,0.0330629
2026-03-17,2026-03-09T16:00:00,2036-01-11T00:00:00,0.0331322
2026-03-17,2026-03-09T16:00:00,2036-02-11T00:00:00,0.0331998
2026-03-17,2026-03-09T16:00:00,2036-03-11T00:00:00,0.0332614
2026-03-17,2026-03-09T16:00:00,2026-03-11T00:00:00,0.02078
2026-03-17,2026-03-09T16:00:00,2026-04-13T00:00:00,0.0213626
2026-03-17,2026-03-09T16:00:00,2026-05-11T00:00:00,0.0218427
2026-03-17,2026-03-09T16:00:00,2026-06-11T00:00:00,0.0223438
2026-03-17,2026-03-09T16:00:00,2026-07-13T00:00:00,0.0228138
2026-03-17,2026-03-09T16:00:00,2026-08-11T00:00:00,0.0231935
2026-03-17,2026-03-09T16:00:00,2026-09-11T00:00:00,0.023548
2026-03-17,2026-03-09T16:00:00,2026-10-12T00:00:00,0.0238468
2026-03-17,2026-03-09T16:00:00,2026-11-11T00:00:00,0.0240824
2026-03-17,2026-03-09T16:00:00,2026-12-11T00:00:00,0.0242653
2026-03-17,2026-03-09T16:00:00,2027-01-11T00:00:00,0.0244011
2026-03-17,2026-03-09T16:00:00,2027-02-11T00:00:00,0.0244943
2026-03-17,2026-03-09T16:00:00,2027-03-11T00:00:00,0.0245534
2026-03-17,2026-03-09T16:00:00,2027-04-12T00:00:00,0.0246036
2026-03-17,2026-03-09T16:00:00,2027-05-11T00:00:00,0.0246382
2026-03-17,2026-03-09T16:00:00,2027-06-11T00:00:00,0.0246676
2026-03-17,2026-03-09T16:00:00,2027-07-12T00:00:00,0.0246934
2026-03-17,2026-03-09T16:00:00,2027-08-11T00:00:00,0.0247176
2026-03-17,2026-03-09T16:00:00,2027-09-13T00:00:00,0.0247465
2026-03-17,2026-03-09T16:00:00,2027-10-11T00:00:00,0.0247752
2026-03-17,2026-03-09T16:00:00,2027-11-11T00:00:00,0.0248122
2026-03-17,2026-03-09T16:00:00,2027-12-13T00:00:00,0.0248571
2026-03-17,2026-03-09T16:00:00,2028-01-11T00:00:00,0.0249038
2026-03-17,2026-03-09T16:00:00,2028-02-11T00:00:00,0.0249593
2026-03-17,2026-03-09T16:00:00,2028-03-13T00:00:00,0.0250192
2026-03-17,2026-03-09T16:00:00,2028-04-11T00:00:00,0.0250782
2026-03-17,2026-03-09T16:00:00,2028-05-11T00:00:00,0.025142
2026-03-17,2026-03-09T16:00:00,2028-06-12T00:00:00,0.0252127
2026-03-17,2026-03-09T16:00:00,2028-07-11T00:00:00,0.0252789
2026-03-17,2026-03-09T16:00:00,2028-08-11T00:00:00,0.0253516
2026-03-17,2026-03-09T16:00:00,2028-09-11T00:00:00,0.0254261
2026-03-17,2026-03-09T16:00:00,2028-10-11T00:00:00,0.0254996
2026-03-17,2026-03-09T16:00:00,2028-11-13T00:00:00,0.0255818
2026-03-17,2026-03-09T16:00:00,2028-12-11T00:00:00,0.0256526
2026-03-17,2026-03-09T16:00:00,2029-01-11T00:00:00,0.025732
2026-03-17,2026-03-09T16:00:00,2029-02-12T00:00:00,0.0258148
2026-03-17,2026-03-09T16:00:00,2029-03-12T00:00:00,0.0258881
2026-03-17,2026-03-09T16:00:00,2029-04-11T00:00:00,0.0259673
2026-03-17,2026-03-09T16:00:00,2029-05-11T00:00:00,0.0260469
2026-03-17,2026-03-09T16:00:00,2029-06-11T00:00:00,0.0261293
2026-03-17,2026-03-09T16:00:00,2029-07-11T00:00:00,0.0262091
2026-03-17,2026-03-09T16:00:00,2029-08-13T00:00:00,0.026297
2026-03-17,2026-03-09T16:00:00,2029-09-11T00:00:00,0.0263747
2026-03-17,2026-03-09T16:00:00,2029-10-11T00:00:00,0.0264558
2026-03-17,2026-03-09T16:00:00,2029-11-12T00:00:00,0.0265432
2026-03-17,2026-03-09T16:00:00,2029-12-11T00:00:00,0.0266232
2026-03-17,2026-03-09T16:00:00,2030-01-11T00:00:00,0.0267096
2026-03-17,2026-03-09T16:00:00,2030-02-11T00:00:00,0.0267963
2026-03-17,2026-03-09T16:00:00,2030-03-11T00:00:00,0.0268744
2026-03-17,2026-03-09T16:00:00,2030-04-11T00:00:00,0.0269602
2026-03-17,2026-03-09T16:00:00,2030-05-13T00:00:00,0.0270482
2026-03-17,2026-03-09T16:00:00,2030-06-11T00:00:00,0.0271281
2026-03-17,2026-03-09T16:00:00,2030-07-11T00:00:00,0.0272111
2026-03-17,2026-03-09T16:00:00,2030-08-12T00:00:00,0.0273003
2026-03-17,2026-03-09T16:00:00,2030-09-11T00:00:00,0.0273844
2026-03-17,2026-03-09T16:00:00,2030-10-11T00:00:00,0.0274691
2026-03-17,2026-03-09T16:00:00,2030-11-11T00:00:00,0.0275573
2026-03-17,2026-03-09T16:00:00,2030-12-11T00:00:00,0.0276437
2026-03-17,2026-03-09T16:00:00,2031-01-13T00:00:00,0.0277398
