snapshot_date,curve_date,forward_date,rate
2026-03-17,2026-03-09T16:00:00,2026-03-11T00:00:00,0.02178
2026-03-17,2026-03-09T16:00:00,2026-04-13T00:00:00,0.0223952
2026-03-17,2026-03-09T16:00:00,2026-05-11T00:00:00,0.0229044
2026-03-17,2026-03-09T16:00:00,2026-06-11T00:00:00,0.0234412
2026-03-17,2026-03-09T16:00:00,2026-07-13T00:00:00,0.0239508
2026-03-17,2026-03-09T16:00:00,2026-08-11T00:00:00,0.0243608
2026-03-17,2026-03-09T16:00:00,2026-09-11T00:00:00,0.0247309
2026-03-17,2026-03-09T16:00:00,2026-10-12T00:00:00,0.0250207
2026-03-17,2026-03-09T16:00:00,2026-11-11T00:00:00,0.0252312
2026-03-17,2026-03-09T16:00:00,2026-12-11T00:00:00,0.0253829
2026-03-17,2026-03-09T16:00:00,2027-01-11T00:00:00,0.0254882
2026-03-17,2026-03-09T16:00:00,2027-02-11T00:00:00,0.0255521
2026-03-17,2026-03-09T16:00:00,2027-03-11T00:00:00,0.0255834
2026-03-17,2026-03-09T16:00:00,2027-04-12T00:00:00,0.025599
2026-03-17,2026-03-09T16:00:00,2027-05-11T00:00:00,0.0256043
2026-03-17,2026-03-09T16:00:00,2027-06-11T00:00:00,0.025611
2026-03-17,2026-03-09T16:00:00,2027-07-12T00:00:00,0.0256278
2026-03-17,2026-03-09T16:00:00,2027-08-11T00:00:00,0.0256545
2026-03-17,2026-03-09T16:00:00,2027-09-13T00:00:00,0.0256945
2026-03-17,2026-03-09T16:00:00,2027-10-11T00:00:00,0.0257361
2026-03-17,2026-03-09T16:00:00,2027-11-11T00:00:00,0.0257894
2026-03-17,2026-03-09T16:00:00,2027-12-13T00:00:00,0.0258511
2026-03-17,2026-03-09T16:00:00,2028-01-11T00:00:00,0.0259117
2026-03-17,2026-03-09T16:00:00,2028-02-11T00:00:00,0.0259804
2026-03-17,2026-03-09T16:00:00,2028-03-13T00:00:00,0.026052
2026-03-17,2026-03-09T16:00:00,2028-04-11T00:00:00,0.0261205
2026-03-17,2026-03-09T16:00:00,2028-05-11T00:00:00,0.0261919
2026-03-17,2026-03-09T16:00:00,2028-06-12T00:00:00,0.0262673
2026-03-17,2026-03-09T16:00:00,2028-07-11T00:00:00,0.0263343
2026-03-17,2026-03-09T16:00:00,2028-08-11T00:00:00,0.0264044
2026-03-17,2026-03-09T16:00:00,2028-09-11T00:00:00,0.026473
2026-03-17,2026-03-09T16:00:00,2028-10-11T00:00:00,0.0265383
2026-03-17,2026-03-09T16:00:00,2028-11-13T00:00:00,0.026609
2026-03-17,2026-03-09T16:00:00,2028-12-11T00:00:00,0.0266683
